50000 50000
198 39672 30
199 23575 36
200 28331 28
201 44486 49
202 37841 39
203 10999 32
204 33539 7
205 9453 32
206 2159 46
207 23806 52
208 44212 18
209 21081 50
210 14397 56
211 11932 5
212 24433 8
213 20942 14
214 11951 40
215 48753 7
216 43489 52
217 43940 25
218 47328 57
219 30620 22
220 15705 35
221 20154 38
222 47647 19
223 12652 12
224 46352 46
225 12138 26
226 29090 28
227 8545 56
228 26278 2
229 39179 46
230 13496 33
231 35714 29
232 2264 20
233 18587 36
234 29292 39
235 17705 19
236 16231 6
237 26707 26
238 986 9
239 25583 37
240 556 30
241 39849 50
242 34425 25
243 25220 50
244 11575 6
245 42514 9
246 36327 8
247 27989 38
248 19055 18
249 12032 23
250 3660 21
251 6378 58
252 34711 47
253 42257 29
254 12253 12
255 44967 56
256 37100 5
257 9707 3
258 30713 12
259 40719 26
260 7365 16
261 40727 4
262 29954 17
263 42259 39
264 35867 45
265 44961 31
266 35479 29
267 49265 32
268 5553 49
269 48259 48
270 25983 8
271 27924 49
272 9038 51
273 19836 8
274 26631 58
275 38058 20
276 30512 52
277 47582 43
278 41577 32
279 4844 25
280 29761 53
281 41859 36
282 19599 23
283 45534 24
284 8768 11
285 12377 41
286 38646 6
287 4708 37
288 25450 13
289 45725 20
290 48476 23
291 13946 32
292 219 43
293 1641 18
294 49681 51
295 15301 18
296 12697 43
297 6984 18
298 13918 16
299 35949 54
300 37285 25
301 28163 20
302 47579 43
303 36382 16
304 12557 22
305 10784 40
306 23220 29
307 19737 40
308 7547 53
309 32783 14
310 12614 23
311 49470 45
312 43189 43
313 36553 12
314 28968 9
315 43635 3
316 4391 33
317 14828 53
318 7078 45
319 27100 47
320 21426 9
321 26030 29
322 44003 54
323 39694 8
324 22682 9
325 13784 25
326 4385 59
327 37787 24
328 44953 41
329 49592 8
330 27379 38
331 29974 6
332 38676 6
333 39164 9
334 39204 45
335 29986 52
336 8536 2
337 30373 3
338 26794 32
339 35152 17
340 24832 31
341 30575 45
342 36730 42
343 2942 56
344 49027 54
345 42706 42
346 47701 7
347 17318 25
348 1111 14
349 21579 22
350 10972 13
351 11353 16
352 41091 33
353 38117 27
354 30477 15
355 21432 48
356 32214 7
357 28192 11
358 35106 57
359 16270 36
360 13376 20
361 39230 3
362 38000 60
363 29177 10
364 2058 35
365 20121 43
366 30627 37
367 5282 19
368 31441 51
369 2633 24
370 26884 34
371 25875 26
372 28703 8
373 173 46
374 15915 13
375 24578 23
376 12260 18
377 36974 56
378 47243 35
379 24167 43
380 43880 47
381 14451 6
382 3667 59
383 37278 60
384 12333 20
385 561 2
386 2913 15
387 39316 51
388 32967 53
389 21243 14
390 48499 36
391 47529 56
392 42815 19
393 10271 38
394 35983 37
395 9073 36
396 15829 10
397 33286 26
398 4388 38
399 28346 43
400 19713 56
401 3280 39
402 24905 19
403 36844 60
404 36006 26
405 32035 20
406 31862 24
407 44216 13
408 38124 54
409 31182 60
410 40029 14
411 29580 43
412 34219 2
413 6833 35
414 15477 26
415 39131 35
416 38756 34
417 48491 31
418 7294 11
419 26810 45
420 11474 3
421 29528 28
422 47119 6
423 46494 6
424 37690 2
425 46098 35
426 23011 46
427 4218 20
428 20808 59
429 11502 56
430 22576 35
431 21946 35
432 29265 47
433 33997 38
434 21894 47
435 7073 26
436 26574 12
437 38511 54
438 43682 5
439 14946 52
440 40230 4
441 1441 19
442 22177 42
443 48681 19
444 5678 19
445 39745 35
446 31018 60
447 40281 24
448 18416 8
449 12435 43
450 40256 9
451 43242 46
452 40066 60
453 39833 44
454 16683 53
455 38172 37
456 26089 15
457 30249 53
458 28747 45
459 34221 34
460 8065 22
461 23697 47
462 21814 44
463 11960 57
464 44695 5
465 6715 34
466 33918 52
467 4870 16
468 41542 43
469 1124 55
470 43893 31
471 45545 20
472 41087 50
473 45300 34
474 23941 24
475 16125 18
476 31812 5
477 18090 20
478 31291 3
479 22663 48
480 14328 13
481 32725 13
482 26761 58
483 38596 9
484 9870 32
485 44792 27
486 8365 32
487 25176 19
488 15577 46
489 24013 28
490 47812 9
491 17937 9
492 41845 23
493 6966 2
494 19080 40
495 21595 57
496 13793 44
497 32275 8
498 19902 30
499 47371 43
500 21140 50
501 23222 7
502 49753 11
503 44528 54
504 14733 26
505 1548 39
506 12351 7
507 18339 8
508 25734 9
509 27710 28
510 21538 7
511 32408 56
512 42198 4
513 18067 12
514 45949 21
515 17173 12
516 15493 17
517 26245 60
518 35672 46
519 10050 27
520 27122 43
521 36291 54
522 4331 11
523 627 11
524 20233 30
525 41750 47
526 32975 26
527 34294 36
528 14425 44
529 32094 5
530 49737 48
531 30177 27
532 16213 47
533 88 37
534 9130 37
535 11895 46
536 952 48
537 954 40
538 28018 26
539 23684 53
540 34531 51
541 6164 35
542 206 29
543 31156 13
544 49610 29
545 19698 40
546 29356 47
547 38948 30
548 29835 16
549 3956 30
550 48404 13
551 35044 28
552 2279 56
553 3784 36
554 31026 33
555 11205 47
556 15255 5
557 28994 41
558 18792 17
559 39284 59
560 29288 7
561 29031 25
562 5524 6
563 43793 23
564 48189 56
565 47654 50
566 47593 46
567 2761 49
568 47329 57
569 17716 38
570 26950 40
571 25533 2
572 28849 29
573 23792 44
574 27564 22
575 46611 56
576 13967 5
577 39853 14
578 37232 39
579 37498 28
580 44118 25
581 9221 14
582 25191 59
583 31283 32
584 15141 54
585 25341 35
586 5850 22
587 35971 50
588 1854 9
589 47593 23
590 17550 20
591 29729 40
592 11433 43
593 9566 49
594 26880 38
595 35459 46
596 32773 45
597 12534 36
598 28412 35
599 31371 52
600 35371 21
601 42153 39
602 7348 43
603 5590 48
604 12514 48
605 25048 24
606 32455 22
607 22876 55
608 34953 27
609 20463 21
610 46842 2
611 33781 27
612 34774 6
613 22408 45
614 35413 54
615 19586 51
616 36738 2
617 36706 40
618 13971 48
619 33331 12
620 24102 9
621 32390 48
622 19664 7
623 15224 60
624 24296 24
625 48506 46
626 7143 26
627 23855 8
628 40528 11
629 21022 32
630 2982 58
631 21229 17
632 36021 27
633 4199 36
634 12295 51
635 37754 22
636 8219 8
637 19129 44
638 27321 54
639 15381 10
640 21464 30
641 2953 50
642 14221 2
643 35639 33
644 33167 60
645 28022 27
646 8091 9
647 3292 29
648 35346 43
649 23319 50
650 22554 46
651 34367 12
652 37295 42
653 7725 37
654 30268 52
655 25092 17
656 5248 29
657 47208 18
658 49842 30
659 48111 18
660 35016 35
661 47906 39
662 5658 2
663 26334 42
664 45295 4
665 49887 13
666 12620 37
667 17103 11
668 20982 55
669 17721 11
670 12011 16
671 17194 12
672 43246 15
673 26516 37
674 49138 8
675 8150 48
676 12699 20
677 39518 38
678 15258 43
679 19432 28
680 15351 35
681 41732 37
682 42763 18
683 4655 40
684 2275 41
685 1748 8
686 23374 16
687 32347 26
688 49111 58
689 8079 58
690 8118 53
691 37980 43
692 20958 11
693 46860 53
694 33123 43
695 41838 30
696 37812 33
697 2203 29
698 43329 7
699 32664 26
700 512 15
701 20693 28
702 34446 18
703 29464 50
704 8059 12
705 12887 46
706 30954 24
707 22795 23
708 39169 31
709 39183 7
710 32348 29
711 46684 2
712 36279 2
713 39436 46
714 24880 36
715 43372 58
716 30657 5
717 47578 60
718 20098 45
719 45086 54
720 529 27
721 3330 13
722 21406 20
723 4508 50
724 9858 5
725 45151 29
726 33633 21
727 6296 56
728 29778 2
729 27247 37
730 21683 28
731 42468 8
732 29540 41
733 41962 44
734 13984 39
735 25346 28
736 35561 34
737 7461 13
738 11396 3
739 8799 22
740 23582 44
741 25292 57
742 24124 39
743 35773 47
744 40434 9
745 10013 32
746 26129 44
747 30378 49
748 6374 51
749 585 10
750 21035 21
751 21300 25
752 10875 18
753 37937 4
754 39587 39
755 7911 2
756 38579 32
757 33 34
758 43571 16
759 47248 28
760 4100 18
761 44079 32
762 45851 43
763 35070 5
764 11357 29
765 20997 21
766 1110 44
767 11204 49
768 3948 43
769 9154 59
770 8140 59
771 17066 33
772 29945 41
773 10865 17
774 16710 20
775 24452 3
776 18263 17
777 8928 56
778 37629 9
779 48835 28
780 13437 58
781 5881 18
782 41865 43
783 16214 57
784 38937 32
785 49906 10
786 1922 13
787 48785 13
788 14856 55
789 21851 22
790 6515 53
791 13384 24
792 7084 40
793 618 46
794 18679 46
795 27706 52
796 48857 35
797 49160 20
798 19820 18
799 4621 38
800 15542 3
801 49308 51
802 5877 15
803 23500 22
804 29437 48
805 45591 25
806 12920 50
807 46611 6
808 44808 8
809 32696 39
810 20595 43
811 30617 31
812 13393 9
813 28128 43
814 7087 40
815 33888 26
816 47080 7
817 24684 38
818 4826 60
819 19467 36
820 41841 49
821 43059 13
822 1771 39
823 40287 4
824 34853 44
825 20940 14
826 42482 60
827 6330 55
828 3015 45
829 27782 40
830 42109 28
831 25416 41
832 34197 49
833 34058 48
834 34924 51
835 3398 29
836 5618 27
837 48329 9
838 44929 50
839 22239 25
840 1463 43
841 44523 19
842 6424 54
843 28213 50
844 6329 30
845 32619 44
846 33300 16
847 21222 24
848 29578 12
849 6101 8
850 37866 20
851 28177 41
852 44157 60
853 31539 59
854 14642 18
855 16504 54
856 22241 25
857 20450 17
858 30191 18
859 1148 56
860 26845 37
861 34604 55
862 18944 18
863 262 55
864 38967 17
865 32405 10
866 43128 6
867 20551 20
868 40186 59
869 11444 16
870 40683 43
871 5023 37
872 28900 46
873 4543 39
874 33341 30
875 13439 57
876 24515 46
877 11960 20
878 17038 14
879 13485 16
880 24691 19
881 39202 50
882 38157 40
883 23779 24
884 8548 37
885 23931 21
886 37523 24
887 33596 54
888 5399 52
889 39062 16
890 5815 8
891 22830 24
892 27407 10
893 15029 48
894 17276 3
895 8691 38
896 31231 14
897 31142 29
898 7686 12
899 637 40
900 17377 48
901 7480 48
902 33476 55
903 4344 27
904 6062 59
905 396 58
906 536 47
907 8524 13
908 41033 57
909 17214 20
910 11340 20
911 18445 21
912 36734 32
913 11490 52
914 31275 2
915 5998 20
916 4680 22
917 35121 48
918 29321 12
919 46028 14
920 10315 29
921 35328 43
922 12229 11
923 4586 35
924 15762 49
925 24807 47
926 18841 23
927 46580 11
928 40833 24
929 24328 34
930 46741 41
931 5940 52
932 28589 2
933 42345 22
934 17061 59
935 30073 42
936 39933 7
937 4731 40
938 23398 28
939 17901 3
940 22775 38
941 474 44
942 1893 26
943 1117 47
944 14769 10
945 22748 30
946 29840 39
947 48151 17
948 30142 42
949 46587 25
950 15938 50
951 14770 15
952 24320 22
953 33961 48
954 7736 12
955 30545 26
956 34647 4
957 2032 25
958 947 50
959 18652 55
960 7680 10
961 25011 35
962 18723 4
963 41066 18
964 12639 60
965 28365 6
966 7945 21
967 3252 9
968 37589 50
969 18690 43
970 47013 42
971 31831 29
972 19775 22
973 43293 38
974 14426 16
975 35207 51
976 49880 2
977 44646 44
978 3095 55
979 38326 39
980 11438 39
981 18981 41
982 8475 45
983 11863 20
984 16788 45
985 29730 17
986 41035 51
987 802 39
988 4709 27
989 3719 18
990 46435 33
991 5791 48
992 22130 15
993 11724 23
994 2756 32
995 35970 59
996 29082 51
997 2690 4
998 9182 59
999 17818 21
1000 41808 25
1001 10075 34
1002 26754 20
1003 11064 19
1004 18712 39
1005 7923 9
1006 30554 46
1007 45090 17
1008 4869 10
1009 36836 51
1010 10506 24
1011 5981 37
1012 31168 52
1013 27801 34
1014 7023 12
1015 43707 3
1016 42405 56
1017 41444 4
1018 28252 51
1019 23767 52
1020 2735 28
1021 28931 18
1022 9798 11
1023 42608 9
1024 21093 56
1025 25869 2
1026 37116 40
1027 38174 20
1028 48156 36
1029 31036 12
1030 42473 3
1031 28181 44
1032 20312 10
1033 2548 56
1034 3750 50
1035 34342 23
1036 2437 45
1037 25169 8
1038 2829 28
1039 39175 41
1040 31701 27
1041 24278 26
1042 14000 21
1043 28388 34
1044 8969 45
1045 37241 4
1046 44983 54
1047 17534 51
1048 43296 6
1049 6872 46
1050 41990 26
1051 26490 8
1052 46017 26
1053 39195 19
1054 43427 41
1055 10191 54
1056 5937 16
1057 48505 55
1058 47071 44
1059 32728 5
1060 46599 36
1061 44583 50
1062 18338 10
1063 9945 50
1064 11735 59
1065 39359 60
1066 24027 44
1067 32623 14
1068 29807 28
1069 6420 31
1070 13351 52
1071 11597 44
1072 42461 57
1073 20317 5
1074 9026 5
1075 374 57
1076 48298 41
1077 49137 13
1078 17500 56
1079 32766 29
1080 48412 49
1081 16447 23
1082 16976 9
1083 34830 15
1084 22604 5
1085 18003 47
1086 11407 27
1087 40114 37
1088 20632 5
1089 18369 37
1090 2421 38
1091 7622 3
1092 48275 57
1093 48347 29
1094 8265 22
1095 5334 50
1096 45063 15
1097 548 19
1098 32600 51
1099 231 26
1100 24969 42
1101 3426 29
1102 33949 28
1103 26345 46
1104 38725 36
1105 28110 12
1106 19251 7
1107 1181 60
1108 7272 11
1109 34998 29
1110 45949 51
1111 32334 58
1112 37904 3
1113 9254 4
1114 19269 2
1115 18302 49
1116 1834 24
1117 43162 7
1118 24008 17
1119 4274 18
1120 41483 31
1121 15294 31
1122 12490 37
1123 30467 36
1124 17241 53
1125 9452 17
1126 44705 13
1127 22702 57
1128 34811 53
1129 23101 56
1130 41283 40
1131 30908 20
1132 16049 54
1133 21256 39
1134 112 42
1135 6578 33
1136 35384 33
1137 19678 3
1138 44814 32
1139 7670 33
1140 38241 43
1141 20360 33
1142 43183 24
1143 19923 47
1144 38819 38
1145 16491 44
1146 2407 8
1147 41844 10
1148 3002 7
1149 16738 41
1150 23472 59
1151 42052 10
1152 10968 32
1153 30492 2
1154 43397 21
1155 29654 18
1156 9422 60
1157 6357 54
1158 37662 52
1159 18870 16
1160 1560 13
1161 11442 32
1162 4947 20
1163 38979 56
1164 46046 18
1165 46191 45
1166 44201 33
1167 42409 51
1168 46851 19
1169 298 17
1170 30679 13
1171 40568 41
1172 2829 14
1173 37609 51
1174 21566 13
1175 48022 39
1176 37239 41
1177 1068 49
1178 3392 15
1179 4424 39
1180 33770 4
1181 846 43
1182 25822 36
1183 43621 41
1184 48019 40
1185 1312 10
1186 44162 23
1187 43497 8
1188 387 29
1189 28453 50
1190 7116 52
1191 21513 38
1192 30727 35
1193 36340 5
1194 16192 39
1195 20203 11
1196 20249 4
1197 41755 22
1198 10567 31
1199 24906 19
1200 1033 32
1201 32291 49
1202 47271 16
1203 46073 10
1204 25735 60
1205 20654 41
1206 307 20
1207 21952 50
1208 28755 12
1209 16680 29
1210 43136 39
1211 19094 28
1212 21813 31
1213 18244 23
1214 39502 34
1215 14091 7
1216 17222 42
1217 18741 7
1218 47427 9
1219 15327 14
1220 14073 12
1221 25236 46
1222 18637 32
1223 27239 37
1224 42704 17
1225 30408 58
1226 39706 42
1227 34501 25
1228 4472 37
1229 33319 25
1230 22237 19
1231 18980 31
1232 35252 58
1233 36425 56
1234 14163 15
1235 6295 42
1236 11033 16
1237 18393 2
1238 25469 26
1239 22358 18
1240 23606 42
1241 3676 4
1242 22671 36
1243 35499 55
1244 33125 56
1245 48948 6
1246 26404 58
1247 37987 34
1248 15909 16
1249 37147 10
1250 22299 24
1251 29110 18
1252 45358 24
1253 34785 33
1254 12011 13
1255 16614 32
1256 4994 22
1257 19597 34
1258 17810 48
1259 31255 35
1260 15873 5
1261 36606 46
1262 8587 59
1263 32365 36
1264 27419 25
1265 20090 50
1266 35992 35
1267 4284 18
1268 44728 10
1269 16971 10
1270 22010 5
1271 9327 17
1272 16705 36
1273 26325 38
1274 37932 8
1275 31655 30
1276 21338 41
1277 40278 22
1278 4024 59
1279 21353 7
1280 10826 46
1281 30525 13
1282 21421 38
1283 20924 31
1284 49898 2
1285 41169 50
1286 49983 55
1287 5753 42
1288 42581 45
1289 8946 40
1290 36839 57
1291 21990 54
1292 27808 57
1293 37154 56
1294 11300 43
1295 29817 26
1296 24283 13
1297 10159 30
1298 21743 41
1299 36371 46
1300 43102 22
1301 9922 3
1302 16636 40
1303 45041 44
1304 45602 23
1305 49057 38
1306 1055 15
1307 4112 42
1308 24847 53
1309 22998 9
1310 37409 40
1311 7802 48
1312 3909 31
1313 22746 9
1314 23018 23
1315 9730 48
1316 20904 41
1317 34322 33
1318 23034 4
1319 25462 23
1320 9082 29
1321 37734 32
1322 8332 45
1323 38778 26
1324 27317 11
1325 6199 12
1326 24687 12
1327 7854 54
1328 35852 12
1329 47972 11
1330 45707 42
1331 9303 37
1332 39656 5
1333 48396 34
1334 8297 19
1335 2853 57
1336 49896 44
1337 44714 58
1338 26488 50
1339 25661 2
1340 1860 26
1341 6915 17
1342 22776 17
1343 34604 33
1344 11805 2
1345 8255 12
1346 19415 10
1347 3769 11
1348 36088 59
1349 31731 46
1350 27105 46
1351 27733 37
1352 26763 31
1353 40198 55
1354 21889 13
1355 24504 52
1356 47078 31
1357 43720 23
1358 15852 19
1359 44844 39
1360 37871 9
1361 46932 57
1362 17318 24
1363 23036 46
1364 4728 56
1365 29299 23
1366 48848 50
1367 23894 45
1368 23224 56
1369 17429 50
1370 3967 24
1371 14857 41
1372 40893 55
1373 48127 27
1374 42758 15
1375 42605 27
1376 12696 9
1377 30870 27
1378 2433 20
1379 40249 38
1380 16228 25
1381 25540 44
1382 33586 23
1383 44394 24
1384 5013 48
1385 31819 26
1386 36112 4
1387 39835 35
1388 18311 19
1389 49946 25
1390 4744 60
1391 39094 12
1392 27098 47
1393 18524 15
1394 43010 49
1395 8488 29
1396 34477 7
1397 20685 51
1398 41348 24
1399 26298 10
1400 15312 25
1401 8508 8
1402 47906 11
1403 25123 34
1404 31695 36
1405 20521 5
1406 32707 31
1407 6410 24
1408 12029 2
1409 22211 30
1410 48772 10
1411 47331 39
1412 31389 38
1413 39214 49
1414 11255 21
1415 39422 12
1416 35952 30
1417 18694 44
1418 27776 3
1419 11448 30
1420 15734 12
1421 33524 18
1422 6868 55
1423 26705 22
1424 25401 14
1425 2662 48
1426 6360 47
1427 31962 11
1428 47768 17
1429 38798 19
1430 44308 49
1431 21610 48
1432 12686 37
1433 3941 2
1434 1141 59
1435 17833 23
1436 13956 5
1437 37136 39
1438 8764 56
1439 10647 16
1440 3057 47
1441 16746 51
1442 48113 40
1443 24232 51
1444 44839 14
1445 20632 42
1446 47683 29
1447 43406 2
1448 23826 57
1449 26824 15
1450 31625 59
1451 28851 25
1452 36882 41
1453 42179 59
1454 21429 32
1455 42816 30
1456 9891 22
1457 24598 12
1458 26887 36
1459 6853 44
1460 29752 25
1461 14089 27
1462 7543 15
1463 30980 46
1464 4360 5
1465 37465 40
1466 16993 25
1467 49490 49
1468 20427 16
1469 19561 51
1470 40403 31
1471 22734 33
1472 6877 59
1473 6775 32
1474 16097 59
1475 42587 26
1476 42387 36
1477 30728 5
1478 23798 28
1479 25867 46
1480 3940 9
1481 31494 30
1482 35106 26
1483 10137 16
1484 18900 18
1485 2072 50
1486 47783 26
1487 16910 42
1488 12974 50
1489 6328 9
1490 34234 31
1491 24845 9
1492 18759 32
1493 4162 27
1494 29100 15
1495 20736 7
1496 2594 53
1497 3023 17
1498 37 44
1499 44889 2
1500 49957 44
1501 41708 30
1502 47059 45
1503 10742 44
1504 44960 16
1505 1556 4
1506 34300 58
1507 42775 25
1508 22949 3
1509 9927 32
1510 26843 22
1511 29201 9
1512 20800 38
1513 8951 57
1514 19653 54
1515 13391 38
1516 40333 23
1517 48687 17
1518 43298 34
1519 26312 25
1520 35871 23
1521 45056 15
1522 5322 51
1523 22079 39
1524 34852 58
1525 47192 32
1526 49483 60
1527 25439 47
1528 35790 27
1529 422 18
1530 4901 40
1531 13154 58
1532 39762 57
1533 22006 51
1534 12931 50
1535 48693 40
1536 3499 13
1537 3167 2
1538 42288 40
1539 44599 35
1540 21830 47
1541 14340 40
1542 39266 14
1543 21495 59
1544 43536 53
1545 5868 46
1546 18220 58
1547 29624 59
1548 4398 42
1549 28465 55
1550 15626 17
1551 16780 34
1552 33166 21
1553 199 2
1554 38898 53
1555 27165 40
1556 49872 25
1557 31871 34
1558 20132 26
1559 40498 59
1560 46730 41
1561 4321 22
1562 26908 47
1563 16558 58
1564 37329 30
1565 10924 30
1566 35425 28
1567 47612 7
1568 44703 31
1569 15871 59
1570 32314 7
1571 23003 57
1572 426 42
1573 2360 17
1574 44252 31
1575 37494 58
1576 20807 42
1577 6265 29
1578 45382 8
1579 25986 17
1580 25584 13
1581 39092 7
1582 43363 2
1583 42402 2
1584 22480 8
1585 16032 30
1586 33884 52
1587 46217 55
1588 32908 55
1589 25798 37
1590 47825 30
1591 5086 21
1592 20251 46
1593 11855 23
1594 40266 24
1595 24830 15
1596 16841 26
1597 36245 11
1598 20423 10
1599 46537 54
1600 20844 20
1601 34046 59
1602 12808 29
1603 7835 52
1604 47180 39
1605 11501 17
1606 15663 19
1607 38071 27
1608 20658 54
1609 4988 29
1610 36217 29
1611 25101 48
1612 18784 32
1613 23279 48
1614 6402 51
1615 18286 15
1616 4579 7
1617 4691 12
1618 8146 25
1619 22830 12
1620 31109 54
1621 48173 21
1622 45790 34
1623 20672 19
1624 3213 6
1625 19715 30
1626 13616 36
1627 4027 41
1628 42505 58
1629 42137 16
1630 38424 52
1631 2863 38
1632 46040 9
1633 11848 41
1634 45933 17
1635 9974 34
1636 39125 57
1637 10337 56
1638 42318 28
1639 24775 6
1640 6307 19
1641 37828 20
1642 21407 30
1643 26490 43
1644 21928 35
1645 47092 25
1646 37478 2
1647 7647 58
1648 18710 5
1649 37508 49
1650 45184 8
1651 10273 36
1652 8269 43
1653 20196 48
1654 32234 23
1655 18855 41
1656 21805 15
1657 2666 42
1658 10130 29
1659 31581 35
1660 3223 43
1661 35303 28
1662 36594 23
1663 40289 30
1664 4359 48
1665 23418 19
1666 6989 35
1667 43699 17
1668 12855 44
1669 36914 28
1670 14391 14
1671 22153 14
1672 40848 19
1673 34716 43
1674 36053 16
1675 22901 32
1676 42561 17
1677 26117 38
1678 27934 49
1679 8403 17
1680 41258 12
1681 27643 6
1682 31651 31
1683 25390 5
1684 572 32
1685 26080 22
1686 5714 22
1687 32207 54
1688 9006 15
1689 20989 24
1690 3987 55
1691 611 50
1692 8022 54
1693 18489 42
1694 32590 49
1695 40964 40
1696 48538 31
1697 44059 60
1698 13889 16
1699 39275 36
1700 3346 34
1701 7751 32
1702 20985 39
1703 26625 17
1704 12819 20
1705 12529 22
1706 35050 10
1707 34953 48
1708 4173 36
1709 22762 16
1710 49065 31
1711 10260 36
1712 2612 30
1713 39765 13
1714 22481 41
1715 24697 41
1716 26494 46
1717 36138 42
1718 46332 34
1719 32469 19
1720 9848 44
1721 27715 45
1722 25335 60
1723 17673 8
1724 8262 55
1725 4636 32
1726 15161 38
1727 14219 54
1728 13877 3
1729 47606 17
1730 3483 5
1731 33730 27
1732 15664 40
1733 20022 45
1734 15149 49
1735 44924 3
1736 9850 17
1737 46964 18
1738 35026 12
1739 25424 24
1740 39852 47
1741 27223 57
1742 15947 11
1743 13759 57
1744 15600 33
1745 15447 25
1746 12090 23
1747 14365 25
1748 13482 55
1749 47545 49
1750 45139 4
1751 17971 4
1752 18061 45
1753 24780 31
1754 17785 43
1755 20754 25
1756 32027 35
1757 48546 52
1758 43500 46
1759 10282 52
1760 11440 51
1761 3573 3
1762 5087 8
1763 36010 37
1764 29187 16
1765 7944 30
1766 14787 51
1767 46327 19
1768 45374 27
1769 8903 7
1770 23565 18
1771 4728 17
1772 7074 41
1773 30023 21
1774 14395 22
1775 33904 13
1776 5489 33
1777 32605 33
1778 22866 12
1779 36125 57
1780 19523 45
1781 37999 60
1782 8681 13
1783 29787 60
1784 39068 12
1785 41928 53
1786 13622 48
1787 22211 26
1788 23879 11
1789 19583 28
1790 8114 45
1791 33853 27
1792 17233 18
1793 38244 40
1794 47553 49
1795 43130 9
1796 49833 53
1797 48565 21
1798 31315 57
1799 13387 22
1800 24101 42
1801 37658 50
1802 36655 8
1803 15832 48
1804 8934 20
1805 41279 50
1806 41189 59
1807 9159 4
1808 2441 24
1809 47569 24
1810 25211 41
1811 15369 3
1812 2954 13
1813 17243 27
1814 21322 8
1815 38465 3
1816 4451 53
1817 12780 6
1818 8056 48
1819 38720 39
1820 20093 27
1821 25835 56
1822 19395 30
1823 32171 7
1824 40869 29
1825 24121 21
1826 31739 33
1827 26654 17
1828 22539 24
1829 25941 24
1830 48014 54
1831 35610 53
1832 3461 50
1833 37008 23
1834 4237 40
1835 23138 11
1836 8705 52
1837 44736 30
1838 48217 52
1839 34587 15
1840 8978 10
1841 20234 37
1842 30254 41
1843 19860 22
1844 39403 54
1845 18541 9
1846 14373 25
1847 6747 31
1848 28528 51
1849 20187 21
1850 43684 35
1851 25053 10
1852 36539 35
1853 38395 42
1854 39785 30
1855 37869 56
1856 2042 3
1857 21844 29
1858 35514 47
1859 21382 51
1860 46580 11
1861 44663 22
1862 27772 14
1863 14834 16
1864 43240 57
1865 8414 19
1866 8727 10
1867 41920 38
1868 39783 9
1869 45953 47
1870 47494 28
1871 1300 53
1872 48817 13
1873 44341 28
1874 35539 9
1875 29434 34
1876 29463 31
1877 21010 8
